priogrid_gid,pg_xcoord__old,pg_ycoord__old,country_iso_a3__old,admin1_gaul1_code__old,admin1_gaul1_name__old,admin1_gaul0_code__old,admin1_gaul0_name__old,admin2_gaul2_code__old,admin2_gaul2_name__old,pg_xcoord__new,pg_ycoord__new,country_iso_a3__new,admin1_gaul1_code__new,admin1_gaul1_name__new,admin1_gaul0_code__new,admin1_gaul0_name__new,admin2_gaul2_code__new,admin2_gaul2_name__new,presence,change_class
125720,39.75,-2.75,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,39.75,-2.75,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,both,identical
125721,40.25,-2.75,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,40.25,-2.75,KEN,1366.0,Kilifi,137.0,Kenya,103618.0,Magarini,both,identical
125722,40.75,-2.75,KEN,1392.0,Tana River,137.0,Kenya,103782.0,Garsen,40.75,-2.75,KEN,1392.0,Tana River,137.0,Kenya,103782.0,Garsen,both,identical
126379,9.25,-2.25,GAB,1311.0,Ogooue-Maritime,127.0,Gabon,103178.0,Etimboue,9.25,-2.25,GAB,1311.0,Ogooue-Maritime,127.0,Gabon,103178.0,Etimboue,both,identical
126380,9.75,-2.25,GAB,1311.0,Ogooue-Maritime,127.0,Gabon,103179.0,Ndougou,9.75,-2.25,GAB,1311.0,Ogooue-Maritime,127.0,Gabon,103179.0,Ndougou,both,identical
126381,10.25,-2.25,GAB,1311.0,Ogooue-Maritime,127.0,Gabon,103179.0,Ndougou,10.25,-2.25,GAB,1311.0,Ogooue-Maritime,127.0,Gabon,103179.0,Ndougou,both,identical
126382,10.75,-2.25,GAB,1307.0,Ngounie,127.0,Gabon,103159.0,Mougalaba,10.75,-2.25,GAB,1307.0,Ngounie,127.0,Gabon,103159.0,Mougalaba,both,identical
126383,11.25,-2.25,GAB,1307.0,Ngounie,127.0,Gabon,103155.0,Dola,11.25,-2.25,GAB,1307.0,Ngounie,127.0,Gabon,103155.0,Dola,both,identical
126384,11.75,-2.25,GAB,1307.0,Ngounie,127.0,Gabon,103154.0,Boumi-Louetsi,11.75,-2.25,GAB,1307.0,Ngounie,127.0,Gabon,103154.0,Boumi-Louetsi,both,identical
126385,12.25,-2.25,GAB,1307.0,Ngounie,127.0,Gabon,103157.0,Louetsi-Bibaka,12.25,-2.25,GAB,1307.0,Ngounie,127.0,Gabon,103157.0,Louetsi-Bibaka,both,identical
126386,12.75,-2.25,COG,1193.0,Niari,116.0,Congo,102220.0,Mayoko,12.75,-2.25,COG,1193.0,Niari,116.0,Congo,102220.0,Mayoko,both,identical
126387,13.25,-2.25,GAB,1305.0,Haut-Ogooue,127.0,Gabon,103146.0,Lekoko,13.25,-2.25,GAB,1305.0,Haut-Ogooue,127.0,Gabon,103146.0,Lekoko,both,identical
